sha,html_url,repo,committer_login
add4b822fa30d7efd971a98a359467282a8772d5,https://github.com/roberto-inf/building-llm-applications/commit/add4b822fa30d7efd971a98a359467282a8772d5,roberto-inf/building-llm-applications,web-flow
a3a63d20163be27a3ae80e1b9d30d4774cca5b5b,https://github.com/MehdiZare/fmp-data/commit/a3a63d20163be27a3ae80e1b9d30d4774cca5b5b,MehdiZare/fmp-data,web-flow
0c7da776f8d21552c146ff2c36794098e0e3cbac,https://github.com/aucontraire/cognivault/commit/0c7da776f8d21552c146ff2c36794098e0e3cbac,aucontraire/cognivault,web-flow
f56c8469da9e8a2238c2c19eebf22daedfd68e59,https://github.com/ykinger/Buildsure-be/commit/f56c8469da9e8a2238c2c19eebf22daedfd68e59,ykinger/Buildsure-be,nimamo
d204641d2e9d79c19eafaafd7a7ea57c61a2dd74,https://github.com/BriamV/AI-Doc-Editor/commit/d204641d2e9d79c19eafaafd7a7ea57c61a2dd74,BriamV/AI-Doc-Editor,web-flow
22cdc8d3c92f6f2b3d5ecb7920a7b8ce57caa932,https://github.com/zk/3pio/commit/22cdc8d3c92f6f2b3d5ecb7920a7b8ce57caa932,zk/3pio,web-flow
6e15160dd3087529791523442a64312ab4e23f59,https://github.com/DataDog/serverless-gcp-sample-apps/commit/6e15160dd3087529791523442a64312ab4e23f59,DataDog/serverless-gcp-sample-apps,web-flow
b53e2f205f0cb31ed25de550b8a0ab19c7d53525,https://github.com/chottokun/MochiRAG/commit/b53e2f205f0cb31ed25de550b8a0ab19c7d53525,chottokun/MochiRAG,chottokun
8108951369a79d1ed04b08998697c87d5a6e3f9d,https://github.com/aruizca/aruizca-resume/commit/8108951369a79d1ed04b08998697c87d5a6e3f9d,aruizca/aruizca-resume,aruizca-appfire
abda0484232f2ff955c013e56238f828600585f2,https://github.com/maomaofeipu/deepChat/commit/abda0484232f2ff955c013e56238f828600585f2,maomaofeipu/deepChat,web-flow
d00eef9f2be1ff670e79cebb0018e0bf2a3b43f5,https://github.com/daviswhitehead/chef-chopsky/commit/d00eef9f2be1ff670e79cebb0018e0bf2a3b43f5,daviswhitehead/chef-chopsky,web-flow
b54e744612e4dcec103a0f0aebc6da179c536ae1,https://github.com/CelestoAI/agentor/commit/b54e744612e4dcec103a0f0aebc6da179c536ae1,CelestoAI/agentor,web-flow
37e2220862e400f9ff4482db8e753dc0e8c6055c,https://github.com/pinetops/track_upstream/commit/37e2220862e400f9ff4482db8e753dc0e8c6055c,pinetops/track_upstream,pinetops
a116793c2e22d3f93d7550ebf22ec2c46a3ccbc8,https://github.com/TencentBlueKing/bk-lite/commit/a116793c2e22d3f93d7550ebf22ec2c46a3ccbc8,TencentBlueKing/bk-lite,xiaomaijiang
302dd1a14ee34537ce97155ea26e6225ea01b82e,https://github.com/huizongsong/deepchat/commit/302dd1a14ee34537ce97155ea26e6225ea01b82e,huizongsong/deepchat,web-flow
b6cbfe207c09b5bcf199d744abe86c4d01991ec3,https://github.com/Arocial/aroxis/commit/b6cbfe207c09b5bcf199d744abe86c4d01991ec3,Arocial/aroxis,
0787cc8351354dc2206c73631fb9ff75ab813337,https://github.com/abhayra12/Gen-AI-Roadmap/commit/0787cc8351354dc2206c73631fb9ff75ab813337,abhayra12/Gen-AI-Roadmap,abhayra12
d013189ffc8e17e1d7998189a953cd1602324e25,https://github.com/astrosumit-051/followup/commit/d013189ffc8e17e1d7998189a953cd1602324e25,astrosumit-051/followup,web-flow
e7b6880ed73efac40420569d2fb8c719ffe73ce0,https://github.com/itzbhushan/ez-scheduler/commit/e7b6880ed73efac40420569d2fb8c719ffe73ce0,itzbhushan/ez-scheduler,web-flow
e4e982481b0b3963e111359982176a1581417e88,https://github.com/itzbhushan/ez-scheduler/commit/e4e982481b0b3963e111359982176a1581417e88,itzbhushan/ez-scheduler,web-flow
d71f9632ec60eab04100d0a35170e28e182e3618,https://github.com/enai-computer/enai/commit/d71f9632ec60eab04100d0a35170e28e182e3618,enai-computer/enai,curranmichael
28ef13b85192cf68e08bffa3ed5163e0e4ed2bd1,https://github.com/heumlabs/gift-tax-agent/commit/28ef13b85192cf68e08bffa3ed5163e0e4ed2bd1,heumlabs/gift-tax-agent,web-flow
bd1eaddcb610d3a53a1128d1c3dbedfcc8106220,https://github.com/epklein/ai-agents/commit/bd1eaddcb610d3a53a1128d1c3dbedfcc8106220,epklein/ai-agents,epklein
df613f32ad6c90deb373ca309597a7beeaa16a44,https://github.com/itzbhushan/ez-scheduler/commit/df613f32ad6c90deb373ca309597a7beeaa16a44,itzbhushan/ez-scheduler,web-flow
b635026457feace1e0167b75c2e11f715975f967,https://github.com/itzbhushan/ez-scheduler/commit/b635026457feace1e0167b75c2e11f715975f967,itzbhushan/ez-scheduler,web-flow
d564905c3e8708de390d6307280b4049b6a04fe2,https://github.com/Neuroca-Inc/Neuroca/commit/d564905c3e8708de390d6307280b4049b6a04fe2,Neuroca-Inc/Neuroca,web-flow
9f9ab31eb160425c6524393dc9f0c96f3a6b39a9,https://github.com/HuskyDanny/FinancialAgent/commit/9f9ab31eb160425c6524393dc9f0c96f3a6b39a9,HuskyDanny/FinancialAgent,HuskyDanny
61cb43cdcb98f664605dcfb3d052f070fb7a2bcd,https://github.com/JSONbored/claudepro-directory/commit/61cb43cdcb98f664605dcfb3d052f070fb7a2bcd,JSONbored/claudepro-directory,web-flow
c67b8bf1114496a0dca750cabf8f33137e7cf144,https://github.com/JSONbored/claudepro-directory/commit/c67b8bf1114496a0dca750cabf8f33137e7cf144,JSONbored/claudepro-directory,web-flow
9deb315958bfec48ceaed53bf7a38df09d7540c6,https://github.com/JSONbored/claudepro-directory/commit/9deb315958bfec48ceaed53bf7a38df09d7540c6,JSONbored/claudepro-directory,web-flow
52ea1a6fcdbfc48d4cd71a00bf6ee28f543a20e0,https://github.com/JSONbored/claudepro-directory/commit/52ea1a6fcdbfc48d4cd71a00bf6ee28f543a20e0,JSONbored/claudepro-directory,web-flow
4ae30a16abb62f8e389221444459675fdf61c722,https://github.com/JSONbored/claudepro-directory/commit/4ae30a16abb62f8e389221444459675fdf61c722,JSONbored/claudepro-directory,web-flow
7600564b2048f95d4e1e7e22ad67a0417cade07d,https://github.com/cds-9-group-6/sasya-chikitsa/commit/7600564b2048f95d4e1e7e22ad67a0417cade07d,cds-9-group-6/sasya-chikitsa,web-flow
86c356436e6468ffd7ae102120a9b2b876ebc577,https://github.com/DevDeividMoura/omni-max/commit/86c356436e6468ffd7ae102120a9b2b876ebc577,DevDeividMoura/omni-max,DevDeividMoura
5a2d42957ac7f69d98642e7e858373c9e584d260,https://github.com/rudihinds/langgraph-agent/commit/5a2d42957ac7f69d98642e7e858373c9e584d260,rudihinds/langgraph-agent,rudihinds
c48f5a501fab111b99240417b47f944403e5c0d7,https://github.com/bridge25/dt-rag/commit/c48f5a501fab111b99240417b47f944403e5c0d7,bridge25/dt-rag,web-flow
0ad71e1993b2e1361290dc93d5d04a11b66c8bdf,https://github.com/aandmaldonado/ai-resume-agent/commit/0ad71e1993b2e1361290dc93d5d04a11b66c8bdf,aandmaldonado/ai-resume-agent,web-flow
103fea4d62285df541f6f015b0fa20a14646b447,https://github.com/byerlikaya/SmartRAG/commit/103fea4d62285df541f6f015b0fa20a14646b447,byerlikaya/SmartRAG,web-flow
b4967b24d390be914b69875e08a9a1221e5edf97,https://github.com/astrosumit-051/followup/commit/b4967b24d390be914b69875e08a9a1221e5edf97,astrosumit-051/followup,web-flow
f53d33f64477f4393f87af4d9af6e3f482df9555,https://github.com/idvorkin/nlp/commit/f53d33f64477f4393f87af4d9af6e3f482df9555,idvorkin/nlp,idvorkin
bc0cd8bf9f092baf2fc2018093916ca8e779627e,https://github.com/ESSSoWhat/PlayaTewsIdentityMasker/commit/bc0cd8bf9f092baf2fc2018093916ca8e779627e,ESSSoWhat/PlayaTewsIdentityMasker,web-flow
c1aa0dfdfcd7f696c255bd6f026ce1bf786c0353,https://github.com/oxsecurity/megalinter/commit/c1aa0dfdfcd7f696c255bd6f026ce1bf786c0353,oxsecurity/megalinter,web-flow
ada548dd5d1b8b1ed889fbf3263c53817c87a285,https://github.com/kunnath/IntelligentBrowser/commit/ada548dd5d1b8b1ed889fbf3263c53817c87a285,kunnath/IntelligentBrowser,web-flow
64929a38b50ac4e684b95aec7f9bbf1b9958ef71,https://github.com/jean-humann/docs-to-pdf/commit/64929a38b50ac4e684b95aec7f9bbf1b9958ef71,jean-humann/docs-to-pdf,web-flow
aaaaed1e59350786ae42268053727bc20249da83,https://github.com/Tetsuro-Copa/langflow/commit/aaaaed1e59350786ae42268053727bc20249da83,Tetsuro-Copa/langflow,web-flow
0a2b9f471c2e47616a222056553fc2f4ceb2bbc8,https://github.com/deadlock-mod-manager/deadlock-mod-manager/commit/0a2b9f471c2e47616a222056553fc2f4ceb2bbc8,deadlock-mod-manager/deadlock-mod-manager,web-flow
