BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
DHILWAN,Cereals,2013,7,20,"Paddy Dhan",KAPURTHALA,"Plant Protection",JAYAD,AGRICULTURE,PUNJAB,":  HOW TO CONTROL OF BACTERIAL BLIGHT IN COTTON","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",31.3856,75.3053
PHUL,Cereals,2013,8,21,"Paddy Dhan",BHATINDA,"Plant Protection",nan,AGRICULTURE,PUNJAB,":  HOW TO CONTROL OF BACTERIAL BLIGHT IN  guar ","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",30.2068,74.9464
PHUL,Cereals,2013,8,22,"Paddy Dhan",BHATINDA,"Plant Protection",nan,AGRICULTURE,PUNJAB,":  HOW TO CONTROL OF BACTERIAL BLIGHT IN  guar ","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",30.2068,74.9464
BATHINDA,Cereals,2013,8,28,"Paddy Dhan",BHATINDA,nan,nan,AGRICULTURE,PUNJAB,"control of bacterial blight","spray of copperoxicloride 500gm  3gm streptocyclin 3gm in 200lit water per acre",30.2068,74.9464
NATHANA,Cereals,2013,9,6,"Paddy Dhan",BHATINDA,nan,nan,AGRICULTURE,PUNJAB,":  HOW TO CONTROL OF BACTERIAL BLIGHT IN  guar ","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",30.2068,74.9464
"TALWANDI SABO",Cereals,2013,9,7,"Paddy Dhan",BHATINDA,nan,nan,AGRICULTURE,PUNJAB,"control of bacterial blight","spray of copperoxicloride 500gm  3gm streptocyclin in 200lit water per acre",30.2068,74.9464
RAMPURA,Cereals,2013,9,14,"Paddy Dhan",BHATINDA,nan,nan,AGRICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BACTERIAL BLIGHT  DISEASE IN COTTONNARMA CROP","sapray 500 gm blitox 3 gm streptocyclin in 100 liter of wateracre",30.2068,74.9464
"TALWANDI SABO",Cereals,2013,9,17,"Paddy Dhan",BHATINDA,"Plant Protection",JAYAD,AGRICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BACTERIAL BLIGHT  DISEASE IN COTTONNARMA CROP","THE CONTROL OF BACTERIAL BLIGHT  DISEASE IN COTTONNARMA CROPPLS SPRAY 500GM KOCIDECOPPER HYDROXICHLORIDE2PCS STREPTOCYCLENE IN 150LITRE WATERACRE",30.2068,74.9464
NATHANA,Cereals,2013,9,23,"Paddy Dhan",BHATINDA,"Plant Protection",nan,AGRICULTURE,PUNJAB,":  HOW TO CONTROL OF BACTERIAL BLIGHT IN COTTON","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",30.2068,74.9464
BATHINDA,Cereals,2013,10,3,"Paddy Dhan",BHATINDA,nan,nan,AGRICULTURE,PUNJAB,":  HOW TO CONTROL OF BACTERIAL BLIGHT IN COTTON","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",30.2068,74.9464
BATHINDA,Cereals,2013,10,3,"Paddy Dhan",BHATINDA,Seeds,JAYAD,AGRICULTURE,PUNJAB,"bacterial blight in rice","tilt25ec-200ml200litre wateracre",30.2068,74.9464
BATHINDA,Cereals,2013,10,3,"Paddy Dhan",BHATINDA,nan,nan,AGRICULTURE,PUNJAB,":  HOW TO CONTROL OF BACTERIAL BLIGHT IN COTTON","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",30.2068,74.9464
"BHAGTA BHAIKA",Cereals,2013,10,5,"Paddy Dhan",BHATINDA,nan,nan,AGRICULTURE,PUNJAB,":  HOW TO CONTROL OF BACTERIAL BLIGHT IN COTTON","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",30.2068,74.9464
BATHINDA,Cereals,2013,10,6,"Paddy Dhan",BHATINDA,Seeds,JAYAD,AGRICULTURE,PUNJAB,"bacterial blight and jassid controol in rice","applaud25ecbuprofzin-200ml300ml ekalux25ectricyclozol-120gm200litre wateracre",30.2068,74.9464
NABHA,Cereals,2013,8,21,"Paddy Dhan",PATIALA,"Plant Protection",nan,AGRICULTURE,PUNJAB,":    HOW TO CONTROL OF BACTERIAL BLIGHT IN COTTON","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",30.2093,76.3397
SHERPUR,Cereals,2013,8,20,"Paddy Dhan",SANGRUR,"Plant Protection",nan,AGRICULTURE,PUNJAB,":  HOW TO CONTROL OF BACTERIAL BLIGHT IN COTTON","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",30.1357,75.8533
SUNAM,Cereals,2013,8,21,"Paddy Dhan",SANGRUR,"Plant Protection",nan,AGRICULTURE,PUNJAB,":  HOW TO CONTROL OF BACTERIAL BLIGHT IN COTTON","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",30.1357,75.8533
ANDANA,Cereals,2013,9,2,"Paddy Dhan",SANGRUR,"Plant Protection",nan,AGRICULTURE,PUNJAB,":  HOW TO CONTROL OF BACTERIAL BLIGHT IN  guar ","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",30.1357,75.8533
SUNAM,Cereals,2013,9,7,"Paddy Dhan",SANGRUR,"Plant Protection",JAYAD,AGRICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BACTERIAL BLIGHT  DISEASE IN COTTONNARMA CROP","THE CONTROL OF BACTERIAL BLIGHT  DISEASE IN COTTONNARMA CROPPLS SPRAY 500GM KOCIDECOPPER HYDROXICHLORIDE2PCS STREPTOCYCLENE IN 150LITRE WATERACRE",30.1357,75.8533
AHMEDGARH,Cereals,2013,9,17,"Paddy Dhan",SANGRUR,"Plant Protection",JAYAD,AGRICULTURE,PUNJAB,":  HOW TO CONTROL OF BACTERIAL BLIGHT IN COTTON","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",30.1357,75.8533
SUNAM,Cereals,2013,9,17,"Paddy Dhan",SANGRUR,nan,JAYAD,AGRICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BACTERIAL BLIGHT  DISEASE IN COTTONNARMA CROP","sapray 500 gm blitox 3 gm streptocyclin in 100 liter of wateracre",30.1357,75.8533
SANGRUR,Cereals,2013,9,19,"Paddy Dhan",SANGRUR,nan,nan,AGRICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BACTERIAL BLIGHT  DISEASE IN COTTONNARMA CROP","sapray 500 gm blitox 3 gm streptocyclin in 100 liter of wateracre",30.1357,75.8533
SANGRUR,Cereals,2013,9,27,"Paddy Dhan",SANGRUR,nan,nan,AGRICULTURE,PUNJAB,"INFORMATION RGEARDING FOR THE CONTROL OF bacterial BLIGHT ATTACK ON PADDYJHONA CROP","sapray 500 gm hexaconazole in 120 lietr of wateracre",30.1357,75.8533
LEHRAGAGA,Cereals,2013,9,28,"Paddy Dhan",SANGRUR,"Plant Protection",JAYAD,AGRICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BACTERIAL BLIGHT  DISEASE IN COTTONNARMA CROP","THE CONTROL OF BACTERIAL BLIGHT  DISEASE IN COTTONNARMA CROPPLS SPRAY 500GM KOCIDECOPPER HYDROXICHLORIDE20GM AGRIMYCIN1PCS STREPTOCYCLENE IN 150LITRE WATERACRE",30.1357,75.8533
SANGRUR,Cereals,2013,10,16,"Paddy Dhan",SANGRUR,nan,nan,AGRICULTURE,PUNJAB,":  HOW TO CONTROL OF BACTERIAL BLIGHT IN COTTON","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",30.1357,75.8533
FARIDKOT,Cereals,2013,9,22,"Paddy Dhan",FARIDKOT,"Plant Protection",JAYAD,AGRICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BACTERIAL BLIGHT  DISEASE IN COTTONNARMA CROP","THE CONTROL OF BACTERIAL BLIGHT  DISEASE IN COTTONNARMA CROPPLS SPRAY 500GM KOCIDECOPPER HYDROXICHLORIDE2PCS STREPTOCYCLENE IN 150LITRE WATERACRE",30.6014,74.795
BUDHLADA,Cereals,2013,8,1,"Paddy Dhan",MANSA,"Plant Protection",nan,AGRICULTURE,PUNJAB,":    HOW TO CONTROL OF BACTERIAL BLIGHT IN COTTON","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",29.8764,75.489
BUDHLADA,Cereals,2013,8,1,"Paddy Dhan",MANSA,"Plant Protection",nan,AGRICULTURE,PUNJAB,"HOW TO CONTROL OF BACTERIAL BLIGHT IN COTTON","SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",29.8764,75.489
BUDHLADA,Cereals,2013,8,9,"Paddy Dhan",MANSA,"Plant Protection",nan,AGRICULTURE,PUNJAB,":  HOW TO CONTROL OF BACTERIAL BLIGHT IN COTTON","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",29.8764,75.489
BUDHLADA,Cereals,2013,8,9,"Paddy Dhan",MANSA,"Plant Protection",nan,AGRICULTURE,PUNJAB,":  HOW TO CONTROL OF BACTERIAL BLIGHT IN COTTON","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",29.8764,75.489
SARDULGARH,Cereals,2013,8,16,"Paddy Dhan",MANSA,Weather,nan,AGRICULTURE,PUNJAB,":    HOW TO CONTROL OF BACTERIAL BLIGHT IN COTTON","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",29.8764,75.489
BHIKHI,Cereals,2013,8,24,"Paddy Dhan",MANSA,"Plant Protection",nan,AGRICULTURE,PUNJAB,":  HOW TO CONTROL OF BACTERIAL BLIGHT IN  guar ","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",29.8764,75.489
BUDHLADA,Cereals,2013,8,24,"Paddy Dhan",MANSA,nan,nan,AGRICULTURE,PUNJAB,":  HOW TO CONTROL OF BACTERIAL BLIGHT IN  guar ","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",29.8764,75.489
BUDHLADA,Cereals,2013,8,27,"Paddy Dhan",MANSA,Seeds,JAYAD,AGRICULTURE,PUNJAB,"bacterial blight in rice","tilt25ec-200ml200litre wateracre",29.8764,75.489
JHUNIR,Cereals,2013,8,30,"Paddy Dhan",MANSA,"Plant Protection",nan,AGRICULTURE,PUNJAB,":    HOW TO CONTROL OF BACTERIAL BLIGHT IN COTTON","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",29.8764,75.489
MANSA,Cereals,2013,9,5,"Paddy Dhan",MANSA,"Plant Protection",nan,AGRICULTURE,PUNJAB,":    HOW TO CONTROL OF BACTERIAL BLIGHT IN COTTON","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",29.8764,75.489
MANSA,Cereals,2013,9,6,"Paddy Dhan",MANSA,nan,nan,AGRICULTURE,PUNJAB,":  HOW TO CONTROL OF BACTERIAL BLIGHT IN  guar ","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",29.8764,75.489
